,latitude_sensor,longitude_sensor,site_id,count
0,-37.82250002,144.95222195,1010,240167
1,-37.822486,144.952065,1006,31392
2,-37.82246,144.951835,1007,272184
3,-37.822222,144.952222,1011,190870
4,-37.8175,144.967222,1014,168268
5,-37.81746522,144.96705703,1008,30160
6,-37.81686763,144.96570467,1009,250229
7,-37.813333,144.97,1012,165004
8,-37.812778,144.960556,1016,134850
9,-37.811944,144.956389,1013,165282
10,-37.810278,144.9725,1015,137381
11,-37.8023,144.960923,1003,337052
12,-37.800793,144.966492,1001,423473
13,-37.800629,144.965052,1005,487094
14,-37.800575,144.964635,1004,260936
15,-37.800524,144.964122,1002,355092
